device,pop_n,m,rep,step,recorded,established,conn_idx,ms_to_establish,in_flight,peripheral_links,total_links,ms_to_session,ms_to_converged
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,2,1,1,N=2 M=1 t1,0,0,0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,3,1,1,N=3 M=1 t1,0,0,0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,3,2,1,N=3 M=2 t1,0,0,0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,4,1,1,N=4 M=1 t1,0,0,0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,4,2,1,N=4 M=2 t1,0,0,0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,4,3,1,N=4 M=3 t1,0,0,0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,5,1,1,N=5 M=1 t1,0,0,0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,5,2,1,N=5 M=2 t1,0,0,0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,5,3,1,N=5 M=3 t1,0,0,0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,5,4,1,N=5 M=4 t1,0,0,0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,6,1,1,N=6 M=1 t1,0,0,0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,6,2,1,N=6 M=2 t1,0,0,0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,6,3,1,N=6 M=3 t1,0,0,0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,6,4,1,N=6 M=4 t1,0,0,0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,6,5,1,N=6 M=5 t1,0,0,0,,,,,,
