device,pop_n,est_m1,knee_m,best_est,max_m,median_ms_establish_at_knee,median_ms_session_at_knee,median_ms_converged_at_knee,max_in_flight,max_peripheral_links,max_total_links,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,est_m9,est_m10
4fecd00f49905e9e223cf26515451b2700e5f3a5455f4d53a9a007b298081033,3,0.0,1,0.0,2,,,,,,,0.0,,,,,,,,
4fecd00f49905e9e223cf26515451b2700e5f3a5455f4d53a9a007b298081033,4,0.0,1,0.0,3,,,,,,,0.0,0.0,,,,,,,
4fecd00f49905e9e223cf26515451b2700e5f3a5455f4d53a9a007b298081033,5,0.0,1,0.0,4,,,,,,,0.0,0.0,0.0,,,,,,
4fecd00f49905e9e223cf26515451b2700e5f3a5455f4d53a9a007b298081033,6,0.0,1,0.0,5,,,,,,,0.0,0.0,0.0,0.0,,,,,
4fecd00f49905e9e223cf26515451b2700e5f3a5455f4d53a9a007b298081033,7,0.0,1,0.0,6,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
4fecd00f49905e9e223cf26515451b2700e5f3a5455f4d53a9a007b298081033,8,0.0,1,0.0,7,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
4fecd00f49905e9e223cf26515451b2700e5f3a5455f4d53a9a007b298081033,9,0.0,1,0.0,8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4fecd00f49905e9e223cf26515451b2700e5f3a5455f4d53a9a007b298081033,10,5.0,4,6.0,9,45156.0,,94701.0,5.0,7.0,12.0,3.0,3.0,6.0,3.5,4.0,1.5,5.5,4.0,
4fecd00f49905e9e223cf26515451b2700e5f3a5455f4d53a9a007b298081033,11,5.5,9,6.5,10,25839.0,,51088.0,4.0,9.0,15.0,5.0,4.0,2.5,5.5,5.5,5.0,4.5,6.0,6.5
6b819f64b80724df3023daf45b665c8a7b8554b7084fb1c0a2479c0fb08738a3,2,0.0,1,0.0,1,,,,,,,,,,,,,,,
6b819f64b80724df3023daf45b665c8a7b8554b7084fb1c0a2479c0fb08738a3,3,0.0,1,0.0,2,,,,,,,0.0,,,,,,,,
6b819f64b80724df3023daf45b665c8a7b8554b7084fb1c0a2479c0fb08738a3,4,0.0,1,0.0,3,,,,,,,0.0,0.0,,,,,,,
6b819f64b80724df3023daf45b665c8a7b8554b7084fb1c0a2479c0fb08738a3,5,0.0,1,0.0,4,,,,,,,0.0,0.0,0.0,,,,,,
6b819f64b80724df3023daf45b665c8a7b8554b7084fb1c0a2479c0fb08738a3,6,0.0,1,0.0,5,,,,,,,0.0,0.0,0.0,0.0,,,,,
6b819f64b80724df3023daf45b665c8a7b8554b7084fb1c0a2479c0fb08738a3,7,0.0,1,0.0,6,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
6b819f64b80724df3023daf45b665c8a7b8554b7084fb1c0a2479c0fb08738a3,8,0.0,1,0.0,7,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
6b819f64b80724df3023daf45b665c8a7b8554b7084fb1c0a2479c0fb08738a3,9,0.0,1,0.0,8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
6b819f64b80724df3023daf45b665c8a7b8554b7084fb1c0a2479c0fb08738a3,10,0.0,1,0.0,9,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
