messageId,sender,sentAt,payloadSize,deliveredAt,latencyMs,appLatencyMs
21f49a3d-348d-50fa-b81a-edf49aff6bbd,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275908047,132.0,1785275908167,120,
fde46e11-e6e0-5d1b-a0a6-bbbdb0ab38b3,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275909038,132.0,1785275909108,70,
a93f0778-f76d-5b05-b3d3-2b0d93f9a0e6,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275909042,132.0,1785275909109,67,
f0b70361-4d91-5012-a4b8-49c4d53bc1b9,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275910024,132.0,1785275910130,106,
6ce68eaf-8dcc-5180-9210-8ce95d2d1b53,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275910028,132.0,1785275910132,104,
87f73ff5-70e8-5a1f-bd1c-21f3f413a088,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275911019,132.0,1785275911134,115,
51bda924-714f-5bd2-9093-c7705bf1318c,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275911020,132.0,1785275911180,160,
349b6d53-0cf2-5c66-8773-bf15a90a0e52,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275912022,132.0,1785275912152,130,
12fac797-9030-5f48-bbf4-3facb8b45bcd,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275913057,132.0,1785275913149,92,
37df2d63-46f8-5b71-bd6c-b9103b84e121,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275913061,132.0,1785275913157,96,
0681301d-c518-553b-9624-ea6fcf8656a0,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275914021,132.0,1785275914133,112,
08713bc3-95aa-545b-b68d-a1ef787dde55,ba2af95fdb602b2c65447ef16252548f89a0a50445c70315bcb4f224500928c9,1785275914023,132.0,1785275914135,112,
