d,payloadB,lanes,direction,label,t0,t1,rssi_n,advPerMin,advCoverage,msg_sent,msg_delivered,delivery_rate,rtt_median_ms,rtt_p90_ms,applat_median_ms,active_s,msg_per_s,goodput_Bps,airB_per_msg,air_overhead,rssi_adv_mean,rssi_adv_std,rssi_conn_mean,rssi_conn_std,t_discovered_s,t_connected_s,t_session_s,t_usable_s,discovered,connected,session,usable,drop
3.0,132,,,c50 d=3 soak,1785284242717,1785284337938,120,70.6,0.662,100,100,1.0,122,175,155,55.2,1.81,239.3,430.5,3.26,-58.7,4.3,-55.6,1.3,1.76,1.69,1.91,2.6,29,4,2,1,3
3.0,132,,,c51 d=3 soak,1785284337938,1785284433162,119,69.9,0.683,100,100,1.0,118,163,154,54.1,1.85,244.2,434.7,3.29,-58.4,4.2,-57.8,2.5,2.3,2.25,2.49,3.14,28,4,2,1,3
3.0,132,,,c52 d=3 soak,1785284433162,1785284528414,112,65.5,0.651,100,100,1.0,120,178,162,54.1,1.85,244.1,431.9,3.27,-58.1,4.1,-58.4,4.3,2.17,2.07,2.31,3.1,28,4,2,1,4
3.0,132,,,c53 d=3 soak,1785284528414,1785284623622,125,73.7,0.693,100,100,1.0,114,178,144,55.1,1.82,239.7,433.3,3.28,-58.3,4.1,-58.4,3.1,1.36,1.28,1.51,2.61,30,4,2,1,3
3.0,132,,,c54 d=3 soak,1785284623622,1785284718775,124,73.8,0.694,100,100,1.0,118,161,152,54.1,1.85,244.0,430.5,3.26,-58.2,4.0,-57.4,1.8,2.04,1.97,2.19,3.16,28,4,2,1,3
3.0,132,,,c55 d=3 soak,1785284718775,1785284814000,123,73.1,0.672,100,100,1.0,94,133,117,55.0,1.82,239.8,434.7,3.29,-58.3,4.0,-56.0,0.6,1.52,1.4,1.82,2.65,30,4,2,1,3
3.0,132,,,c56 d=3 soak,1785284814000,1785284909167,123,73.1,0.683,100,100,1.0,115,162,138,53.1,1.88,248.8,430.5,3.26,-59.1,4.2,-57.1,3.2,3.51,3.43,3.7,4.62,28,4,2,1,3
3.0,132,,,c57 d=3 soak,1785284909167,1785285004371,124,73.1,0.683,100,100,1.0,102,139,129,55.1,1.82,239.7,431.9,3.27,-58.7,4.1,-57.2,4.0,1.61,1.46,1.93,2.64,30,4,2,1,3
3.0,132,,,c58 d=3 soak,1785285004371,1785285099547,120,70.6,0.693,100,100,1.0,110,138,138,55.1,1.82,239.7,431.9,3.27,-59.0,4.1,-56.2,0.5,1.34,1.26,1.56,2.64,28,4,2,1,3
3.0,132,,,c59 d=3 soak,1785285099547,1785285194785,122,71.2,0.672,100,100,1.0,114,156,136,54.1,1.85,244.2,430.5,3.26,-58.8,4.2,-58.1,3.1,2.74,2.67,2.89,3.65,30,4,2,1,3
3.0,132,,,c60 d=3 soak,1785285194785,1785285289998,125,74.4,0.672,100,100,1.0,108,182,140,54.1,1.85,243.8,431.9,3.27,-59.5,4.3,-56.7,4.2,2.01,1.9,2.27,3.12,28,4,2,1,3
3.0,132,,,c61 d=3 soak,1785285289998,1785285385180,122,70.6,0.672,100,100,1.0,121,178,141,55.1,1.81,239.4,431.9,3.27,-58.3,3.8,-56.9,3.3,1.61,1.51,1.8,2.59,32,4,2,1,3
3.0,132,,,c62 d=3 soak,1785285385180,1785285480377,120,71.2,0.672,100,100,1.0,112,182,137,55.1,1.82,239.7,436.1,3.3,-58.8,4.2,-56.0,0.8,1.64,1.55,1.78,2.63,28,4,2,1,3
3.0,132,,,c63 d=3 soak,1785285480377,1785285575594,128,75.0,0.683,100,100,1.0,110,161,140,53.1,1.88,248.6,430.5,3.26,-58.6,3.9,-55.7,3.0,3.07,3.0,3.3,4.18,30,4,2,1,3
3.0,132,,,c64 d=3 soak,1785285575594,1785285670815,124,71.8,0.693,100,100,1.0,124,184,150,55.1,1.81,239.5,431.9,3.27,-58.0,4.2,-57.5,4.3,1.45,1.35,1.68,2.65,28,4,2,1,3
3.0,132,,,c65 d=3 soak,1785285670815,1785285766041,122,71.2,0.662,100,100,1.0,100,139,134,55.0,1.82,239.9,431.9,3.27,-58.5,4.0,-59.0,3.8,1.21,1.12,1.36,2.17,32,4,2,1,3
3.0,132,,,c66 d=3 soak,1785285766041,1785285861264,124,73.1,0.672,100,100,1.0,134,174,162,40.2,2.49,328.7,429.1,3.25,-58.9,4.2,-58.8,3.8,2.59,2.54,17.43,17.67,27,4,2,1,3
3.0,132,,,c67 d=3 soak,1785285861264,1785285956426,125,73.1,0.683,100,100,1.0,104,167,131,54.1,1.85,244.2,431.9,3.27,-58.8,4.4,-58.7,3.2,2.32,2.19,2.49,3.64,30,4,2,1,3
